Location,Age,Sex,Cause of death or injury,Measure,Value,Categoría
Global,All ages,Both,Tuberculosis,Percent of total deaths 2017,"0,021157376",Enfermedades Infecciosas
Global,All ages,Both,Tuberculosis,Deaths annual % change 2010-2017,"-0,032548776",Enfermedades Infecciosas
Global,All ages,Both,HIV/AIDS,Percent of total deaths 2017,"0,017061125",Enfermedades Infecciosas
Global,All ages,Both,HIV/AIDS,Deaths annual % change 2010-2017,"-0,045662897",Enfermedades Infecciosas
Global,All ages,Both,Diarrheal diseases,Percent of total deaths 2017,"0,028053310",Enfermedades Infecciosas
Global,All ages,Both,Diarrheal diseases,Deaths annual % change 2010-2017,"-0,019358474",Enfermedades Infecciosas
Global,All ages,Both,Other intestinal infectious diseases,Percent of total deaths 2017,"2,587234796e-05",Enfermedades Infecciosas
Global,All ages,Both,Other intestinal infectious diseases,Deaths annual % change 2010-2017,"-0,066309070",Enfermedades Infecciosas
Global,All ages,Both,Lower respiratory infections,Percent of total deaths 2017,"0,045733648",Enfermedades Respiratorias
Global,All ages,Both,Lower respiratory infections,Deaths annual % change 2010-2017,"-0,021149644",Enfermedades Respiratorias
Global,All ages,Both,Upper respiratory infections,Percent of total deaths 2017,"0,000162867",Enfermedades Respiratorias
Global,All ages,Both,Upper respiratory infections,Deaths annual % change 2010-2017,"-0,072411543",Enfermedades Respiratorias
Global,All ages,Both,Otitis media,Percent of total deaths 2017,"1,694403859e-05",Enfermedades Infecciosas
Global,All ages,Both,Otitis media,Deaths annual % change 2010-2017,"-0,056684523",Enfermedades Infecciosas
Global,All ages,Both,Meningitis,Percent of total deaths 2017,"0,005148122",Enfermedades Infecciosas
Global,All ages,Both,Meningitis,Deaths annual % change 2010-2017,"-0,037392192",Enfermedades Infecciosas
Global,All ages,Both,Encephalitis,Percent of total deaths 2017,"0,001651060",Enfermedades Infecciosas
Global,All ages,Both,Encephalitis,Deaths annual % change 2010-2017,"-0,022998829",Enfermedades Infecciosas
Global,All ages,Both,Diphtheria,Percent of total deaths 2017,"6,477768907e-05",Enfermedades Infecciosas
Global,All ages,Both,Diphtheria,Deaths annual % change 2010-2017,"-0,135042873",Enfermedades Infecciosas
Global,All ages,Both,Whooping cough,Percent of total deaths 2017,"0,001640801",Enfermedades Infecciosas
Global,All ages,Both,Whooping cough,Deaths annual % change 2010-2017,"-0,044732983",Enfermedades Infecciosas
Global,All ages,Both,Tetanus,Percent of total deaths 2017,"0,000681614",Enfermedades Infecciosas
Global,All ages,Both,Tetanus,Deaths annual % change 2010-2017,"-0,112125959",Enfermedades Infecciosas
Global,All ages,Both,Measles,Percent of total deaths 2017,"0,001703471",Enfermedades Infecciosas
